Titles,List of Authors,Citations,PMIDs,Abstract Snippets
"
              
                Mood and microbes: a comprehensive review of intestinal microbiota's impact on depression.
              
            ","Luqman A, He M, Hassan A, Ullah M, Zhang L, Rashid Khan M, Din AU, Ullah K, Wang W, Wang G.",Front Psychiatry. 2024 Feb 9;15:1295766. doi: 10.3389/fpsyt.2024.1295766. eCollection 2024.,38404464,"
              The human gut microbiota, also known as the ""second brain,"" has an important role in the CNS by regulating it through chemical, immunological, hormonal, and neurological processes. ...However, profound insights into the stratification and diversity of the …
            "
"
              
                Features of gut microbiota in patients with anorexia nervosa.
              
            ","Yuan R, Yang L, Yao G, Geng S, Ge Q, Bo S, Li X.",Chin Med J (Engl). 2022 Aug 20;135(16):1993-2002. doi: 10.1097/CM9.0000000000002362.,36191590,"
              An increasing number of studies have reported that the pathophysiological mechanism of AN might be associated with the dysbiosis of gut microbiota. The purpose of our study was to explore the features of gut microbiota in patients with AN, hoping to pr …
            "
"
              
                Fecal Microbiota Composition as a Metagenomic Biomarker of Dietary Intake.
              
            ","Melo NCO, Cuevas-Sierra A, Fernández-Cruz E, de la O V, Martínez JA.",Int J Mol Sci. 2023 Mar 3;24(5):4918. doi: 10.3390/ijms24054918.,36902349,"
              Gut microbiota encompasses the set of microorganisms that colonize the gastrointestinal tract with mutual relationships that are key for host homeostasis. Increasing evidence supports cross intercommunication between the intestinal microbiome and the e …
            "
"
              
                We are not alone: a case for the human microbiome in extra intestinal diseases.
              
            ",Shivaji S.,Gut Pathog. 2017 Mar 7;9:13. doi: 10.1186/s13099-017-0163-3. eCollection 2017.,28286571,"
              BACKGROUND: ""Dysbiosis"" in the gut microbiome has been implicated in auto-immune diseases, in inflammatory diseases, in some cancers and mental disorders. ...In mice signals from the gut microbiota activate retina specific T cells that are invol …
            "
"
              
                Probiotics and Psychobiotics: the Role of Microbial Neurochemicals.
              
            ","Oleskin AV, Shenderov BA.",Probiotics Antimicrob Proteins. 2019 Dec;11(4):1071-1085. doi: 10.1007/s12602-019-09583-0.,31493127,"
              This ongoing dialog may either stabilize the host's physical and mental health state or, alternatively, cause serious health problems. Attempts are made to correct imbalances in the brain-gut-microbiota axis with probiotics including their subgr …
            "
"
              
                Impaired blood-brain barrier in the microbiota-gut-brain axis: Potential role of bipolar susceptibility gene TRANK1.
              
            ","Lai J, Jiang J, Zhang P, Xi C, Wu L, Gao X, Fu Y, Zhang D, Chen Y, Huang H, Zhu Y, Hu S.",J Cell Mol Med. 2021 Jul;25(14):6463-6469. doi: 10.1111/jcmm.16611. Epub 2021 May 20.,34014031,"
              Despite its high heritability, gene and environment interaction is commonly accepted as the major contributing factor to BD pathogenesis. Intestine microbiota is increasingly recognized as a critical environmental factor for human health and diseases via the micr …
            "
"
              
                Ketogenic diet ameliorates attention deficit hyperactivity disorder in rats via regulating gut microbiota.
              
            ","Liu Y, Yang C, Meng Y, Dang Y, Yang L.",PLoS One. 2023 Aug 16;18(8):e0289133. doi: 10.1371/journal.pone.0289133. eCollection 2023.,37585373,"
              Attention deficit hyperactivity disorder (ADHD) is a common mental behavioral disorder in children. Alterations in gut microbiota composition are associated with neurological disorders. ...The gut microbiota in the KD group of SHR mainly partici …
            "
"
              
                Jianpi Jieyu Decoction, An Empirical Herbal Formula, Exerts Psychotropic Effects in Association With Modulation of Gut Microbial Diversity and GABA Activity.
              
            ","Liu L, Zou Z, Yang J, Li X, Zhu B, Zhang H, Sun Y, Zhang Y, Zhang ZJ, Wang W.",Front Pharmacol. 2021 Apr 14;12:645638. doi: 10.3389/fphar.2021.645638. eCollection 2021.,33935741,"
              Background: Recent studies suggest that gut microbiota was associated with the bidirectional gut-brain axis which could modulate neuropsychological functions of the central nervous system. Gut microbiota could produce gamma aminobutyric acid (GA …
            "
"
              
                A Pilot Study of the Gut Microbiota Associated With Depressive Symptoms and Sleep Disturbance Among Chinese and Korean Immigrants in the United States.
              
            ","Hope C, Shen N, Zhang W, Noh HI, Hertzberg VS, Kim S, Bai J.",Biol Res Nurs. 2023 Jan;25(1):150-160. doi: 10.1177/10998004221124273. Epub 2022 Sep 2.,36056574,"
              CONTEXT: Depression is prevalent among Asian Americans (AsA) during the COVID-19 pandemic, and depression often leads to sleep disturbance in this population. The gut microbiota (GM) plays a critical role in mental health and sleep quality, and the com …
            "
"
              
                Microbes, Immunity, and Behavior: Psychoneuroimmunology Meets the Microbiome.
              
            ","Dinan TG, Cryan JF.",Neuropsychopharmacology. 2017 Jan;42(1):178-192. doi: 10.1038/npp.2016.103. Epub 2016 Jun 20.,27319972,"
              The gut microbiota is a complex ecosystem with a diverse range of organisms and a sophisticated genomic structure. ...Even at this juncture, there is evidence to pinpoint key sites of communication where gut microbial interventions either with drugs or …
            "
"
              
                Maternal prenatal gut microbiota composition predicts child behaviour.
              
            ","Dawson SL, O'Hely M, Jacka FN, Ponsonby AL, Symeonides C, Loughman A, Collier F, Moreno-Betancur M, Sly P, Burgner D, Tang MLK, Saffery R, Ranganathan S, Conlon MA, Harrison LC, Brix S, Kristiansen K, Vuillermin P; BIS Investigator Group.",EBioMedicine. 2021 Jun;68:103400. doi: 10.1016/j.ebiom.2021.103400. Epub 2021 Jun 5.,34098340,"
              BACKGROUND: Murine studies demonstrate that maternal prenatal gut microbiota influences brain development and behaviour of offspring. ...Our findings highlight the need to evaluate potential impacts of the prenatal gut microbiota on early life brain de …
            "
"
              
                The microbiome in reproductive health: protocol for a systems biology approach using a prospective, observational study design.
              
            ","Krog MC, Madsen ME, Bliddal S, Bashir Z, Vexø LE, Hartwell D, Hugerth LW, Fransson E, Hamsten M, Boulund F, Wannerberger K, Engstrand L, Schuppe-Koistinen I, Nielsen HS.",Hum Reprod Open. 2022 Mar 23;2022(2):hoac015. doi: 10.1093/hropen/hoac015. eCollection 2022.,35441092,"
              How do these profiles interact with genetics, environmental exposures, immunological and endocrine biomarkers? WHAT IS KNOWN ALREADY: The microbiome is a key factor influencing human health and disease in areas as diverse as immune functioning, gastrointes …
            "
"
              
                Bacillus coagulans SCC-19 maintains intestinal health in cadmium-exposed common carp (Cyprinus carpio L.) by strengthening the gut barriers, relieving oxidative stress and modulating the intestinal microflora.
              
            ","Chang X, Kang M, Shen Y, Yun L, Yang G, Zhu L, Meng X, Zhang J, Su X.",Ecotoxicol Environ Saf. 2021 Nov 13;228:112977. doi: 10.1016/j.ecoenv.2021.112977. Online ahead of print.,34781134,"
              Here, we aimed to determine the effects of B. coagulans on Cd(2+) bioaccumulation, gut barrier function, oxidative stress and gut microbiota in common carp following Cd(2+) exposure. ...In addition, B. coagulans could relieve oxidative stress in Cd(2+)-expose …
            "
"
              
                Compositional and Functional Alterations in Intestinal Microbiota in Patients with Psychosis or Schizophrenia: A Systematic Review and Meta-analysis.
              
            ","Murray N, Al Khalaf S, Bastiaanssen TFS, Kaulmann D, Lonergan E, Cryan JF, Clarke G, Khashan AS, O'Connor K.",Schizophr Bull. 2023 Sep 7;49(5):1239-1255. doi: 10.1093/schbul/sbad049.,37210594,"
              BACKGROUND AND HYPOTHESIS: Intestinal microbiota is intrinsically linked to human health. Evidence suggests that the composition and function of the microbiome differs in those with schizophrenia compared with controls. ...We did not find evidence for variati …
            "
"
              
                Multiomics Revealed the Multi-Dimensional Effects of Late Sleep on Gut Microbiota and Metabolites in Children in Northwest China.
              
            ","Xiang X, Chen J, Zhu M, Gao H, Liu X, Wang Q.",Nutrients. 2023 Oct 10;15(20):4315. doi: 10.3390/nu15204315.,37892391,"
              Background Sleep plays a pivotal role in children's mental and physical development and has been linked to the gut microbiota in animals and adults. ...Results The richness and diversity of the gut microbiota in children with early bedtim …
            "
"
              
                Evolutionary Aspects of Diverse Microbial Exposures and Mental Health: Focus on ""Old Friends"" and Stress Resilience.
              
            ","Dawud LM, Holbrook EM, Lowry CA.",Curr Top Behav Neurosci. 2023;61:93-117. doi: 10.1007/7854_2022_385.,35947354,"
              We highlight evidence that microbial signals that can drive immunoregulation arise from phylogenetically diverse taxa but are strain specific. Finally, we highlight Mycobacterium vaccae NCTC 11659, a soil-derived bacterium with anti-inflammatory and immunoregulatory proper …
            "
